scheme_code,scheme_name,date,nav,plan_type
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-03,12.64,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-08,12.88,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-09,12.95,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-10,13.0,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-11,12.89,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-12,12.98,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-15,12.96,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-16,12.92,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-17,12.88,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-18,12.71,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-22,12.43,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-23,12.59,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-24,12.59,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-25,12.66,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-26,12.28,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-29,12.19,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-11-30,12.24,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-01,12.28,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-02,12.4,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-03,12.34,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-06,12.15,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-07,12.29,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-08,12.48,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-09,12.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-10,12.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-13,12.54,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-14,12.51,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-15,12.45,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-16,12.39,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-17,12.2,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-20,11.87,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-21,11.99,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-22,12.15,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-23,12.26,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-24,12.2,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-27,12.21,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-28,12.3,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-29,12.3,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-30,12.31,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2021-12-31,12.42,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-03,12.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-04,12.62,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-01-05,12.61,Regular
